SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-30-2018,Vacant Land,0 (Lot 161) Flash Cir,Luling,TX,78648,32000,,,Comal/Guadalupe/Gonzales,,142876,,594,,30,Sold,,,http://www.redfin.com/TX/Luling/0-Lot-161-Flash-Cir-78648/home/145233073,ACTRIS,1743023,N,Y,29.570787,-97.643935
PAST SALE,July-27-2018,Vacant Land,0 County Rd 409,Gonzales,TX,78629,240000,,,Williams,,2032858,,536,,,Sold,,,http://www.redfin.com/TX/Gonzales/0-County-Rd-409-78629/home/145365723,HARMLS,48889910,N,Y,29.590591,-97.267027
PAST SALE,August-16-2019,Vacant Land,0 County Rd 431,Waelder,TX,78959,69000,,,David B Kent,,430808,,151,,,Sold,,,http://www.redfin.com/TX/Unknown/County-Road-431-78959/home/162329226,HARMLS,11649676,N,Y,29.695093,-97.262113
PAST SALE,December-24-2019,Vacant Land,3499-3401 Hwy 90,Waelder,TX,78959,57500,,,256 Richard Heath,,306662,,21,,,Sold,,,http://www.redfin.com/TX/Waelder/3499-U-S-90-78959/home/169463066,HARMLS,31585151,N,Y,29.7019804,-97.3562688
PAST SALE,December-6-2019,Vacant Land,Lot 166 Flash Cir,Luling,TX,78648,39900,,,Settlement at Patriot Ranch (the),,203861,,39,,25,Sold,,,http://www.redfin.com/TX/Luling/Lot-166-Flash-Cir-78648/home/144356608,HARMLS,22575523,N,Y,29.572524,-97.64377
PAST SALE,January-29-2018,Vacant Land,Lot 193 Sam Houston Pkwy,Luling,TX,78648,24000,,,Settlement at Patriot Ranch (the),,130680,,715,,25,Sold,,,http://www.redfin.com/TX/Luling/Lot-193-Sam-Houston-Pkwy-78648/home/143844395,HARMLS,25581944,N,Y,29.573345,-97.647529
PAST SALE,March-14-2018,Vacant Land,0 (lot 26) Flash Cir,Luling,TX,78648,30000,,,Comal/Guadalupe/Gonzales,,136778,,671,,28,Sold,,,http://www.redfin.com/TX/Luling/0-Lot-26-Flash-Cir-78648/home/113848798,ACTRIS,9863641,N,Y,29.590336,-97.651376
PAST SALE,January-19-2018,Vacant Land,TBD Creekwood Dr,Gonzales,TX,78629,18500,,,Comal/Guadalupe/Gonzales,,41382,,725,,10,Sold,,,http://www.redfin.com/TX/Gonzales/TBD-Creekwood-Dr-78629/home/114007294,ACTRIS,9512018,N,Y,29.49786,-97.532217
PAST SALE,September-21-2018,Vacant Land,Lot 198 Sam Houston Pkwy,Luling,TX,78648,22500,,,Settlement at Patriot Ranch (the),,130680,,480,,25,Sold,,,http://www.redfin.com/TX/Luling/Lot-198-Sam-Houston-Pkwy-78648/home/113788782,HARMLS,77321340,N,Y,29.574985,-97.644672
PAST SALE,March-13-2018,Vacant Land,Lot 81 Bowie Trl,Luling,TX,78648,33000,,,Settlement at Patriot Ranch (the),,180338,,672,,25,Sold,,,http://www.redfin.com/TX/Luling/Lot-81-Bowie-Trl-78648/home/113788058,HARMLS,53639264,N,Y,29.578865,-97.633566
PAST SALE,January-19-2018,Vacant Land,418 County Rd 418,Waelder,TX,78959,315000,,,Jacob Kindig,,3057912,,725,,,Sold,,,http://www.redfin.com/TX/Waelder/418-78959/home/113847009,HARMLS,13115145,N,Y,29.6714862,-97.2561226
PAST SALE,March-23-2018,Vacant Land,0 (lot 5) Red Wheel Ranch Rd,Harwood,TX,78632,74000,,,Caldwell/Fayette,,437342,,662,,,Sold,,,http://www.redfin.com/TX/Unknown/0-Lot-5-Red-Wheel-Ranch-Rd-78632/home/144570912,ACTRIS,6904085,N,Y,29.69464,-97.459773
PAST SALE,July-27-2018,Vacant Land,Lot 2 Settlement Way,Luling,TX,78648,71250,,,Settlement at Patriot Ranch (the),,435600,,536,,25,Sold,,,http://www.redfin.com/TX/Luling/Lot-2-Settlement-Way-78648/home/113788600,HARMLS,26098026,N,Y,29.605629,-97.664349
PAST SALE,July-25-2019,Vacant Land,Lot 155 Flash Cir,Luling,TX,78648,35000,,,The Settlement at Patriot Ranch,,182081,,173,,25,Sold,,,http://www.redfin.com/TX/Luling/Lot-155-Flash-Cir-78648/home/145951117,HARMLS,50520162,N,Y,29.574527,-97.639436
PAST SALE,September-16-2019,Vacant Land,0 (Lot 111) Settlement Way/Powder Ri,Luling,TX,78648,83000,,,Comal/Guadalupe/Gonzales,,219106,,120,,28,Sold,,,http://www.redfin.com/TX/Luling/0-Lot-111-Settlement-Way-Powder-Ri-78648/home/144472664,ACTRIS,3319921,N,Y,29.601586,-97.65563
PAST SALE,August-31-2018,Vacant Land,TBD Flash Cir,Luling,TX,78648,40000,,,Comal/Guadalupe/Gonzales,,217800,,501,,31,Sold,,,http://www.redfin.com/TX/Luling/TBD-Flash-Cir-78648/home/144321979,ACTRIS,6104531,N,Y,29.589206,-97.647053
PAST SALE,October-15-2019,Vacant Land,0 (TBD) Hwy 80,Nixon,TX,78140,95000,,,Comal/Guadalupe/Gonzales,,829382,,91,,,Sold,,,http://www.redfin.com/TX/Nixon/0-TBD-78140/home/167181425,ACTRIS,3665686,N,Y,29.286099,-97.76429
PAST SALE,June-21-2018,Vacant Land,6 ac Crockett Ln,Luling,TX,78648,49900,,,Settlement at Patriot Ranch (the),,261360,,572,,50,Sold,,,http://www.redfin.com/TX/Luling/6-ac-Crockett-Ln-78648/home/113790720,HARMLS,990575,N,Y,29.57816,-97.64454
PAST SALE,April-30-2019,Vacant Land,000 County Rd 401 Rd,Flatonia,TX,78959,434000,,,Central Texas,,5248544,,259,,,Sold,,,http://www.redfin.com/TX/Flatonia/000-County-Rd-401-Rd-78959/home/147245733,HARMLS,4117133,N,Y,29.6628,-97.1859
PAST SALE,October-28-2019,Vacant Land,128 Creekwood Dr,Gonzales,TX,78629,23500,,,Creekwood,,39640,,78,,19,Sold,,,http://www.redfin.com/TX/Gonzales/128-Creekwood-Dr-78629/home/168955659,HARMLS,84862988,N,Y,29.497036,-97.5317597
PAST SALE,June-24-2019,Vacant Land,0 (Lot 31) Flash Cir,Luling,TX,78648,53100,,,Comal/Guadalupe/Gonzales,,199940,,204,,30,Sold,,,http://www.redfin.com/TX/Luling/0-Lot-31-Flash-CIR-78648/home/166812859,ACTRIS,1554647,N,Y,29.594752,-97.652345
