SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-10-2018,Vacant Land,7420 Eagle Point Dr,Brownwood,TX,76801,49500,0,,Feather Bay,,,,680,,29,Sold,,,http://www.redfin.com/TX/Brownwood/7420-Eagle-Pt-76801/home/55068278,NTREIS,13198651,N,Y,31.819879,-99.042394
PAST SALE,July-24-2017,Vacant Land,2523 N Main Blvd,Brownwood,TX,76801,6000,0,,Brownwood Heights,,,,970,,,Sold,,,http://www.redfin.com/TX/Brownwood/2523-N-Main-Blvd-76801/home/74982961,NTREIS,13134825,N,Y,31.743489,-98.998505
PAST SALE,November-6-2017,Vacant Land,Oak Point Dr,May,TX,76857,8500,0,,Oak Point Ph Two,,21998,,865,,21,Sold,,,http://www.redfin.com/TX/Unknown/Oak-Point-Dr-76857/home/74988960,NTREIS,13526081,N,Y,31.871163,-99.008155
PAST SALE,July-13-2017,Vacant Land,Deepwater Rd,Brownwood,TX,76801,125000,0,,Deepwater Estates,,119267,,981,,9999,Sold,,,http://www.redfin.com/TX/Brownwood/Deep-Water-Rd-76801/home/74986725,NTREIS,13321539,N,Y,31.857587,-98.998992
PAST SALE,July-24-2017,Vacant Land,Lake Point Dr,May,TX,76857,4600,0,,Oak Point Ph Two,,27878,,970,,21,Sold,,,http://www.redfin.com/TX/Unknown/Lake-Point-Dr-76857/home/74990948,NTREIS,13193347,N,Y,31.877265,-99.007587
PAST SALE,February-6-2018,Vacant Land,17583 Mustang Dr,Brownwood,TX,76801,33527,0,,see private remarks,,279394,,773,,,Sold,,,http://www.redfin.com/TX/Brownwood/17583-Mustang-Dr-76801/home/112712206,NTREIS,13510628,N,Y,31.668878,-98.968841
PAST SALE,April-7-2017,Vacant Land,7701 County Road 550,Brownwood,TX,76801,35000,0,,"James Kenney, Surv 624, Abst",,417958,,1078,,,Sold,,,http://www.redfin.com/TX/Brownwood/7701-Co-Rd-550-76801/home/87702439,NTREIS,13467056,N,Y,31.826037,-99.112901
PAST SALE,July-31-2017,Vacant Land,County Road 536,Lake Brownwood,TX,76801,100000,0,,Minton,,106722,,963,,,Sold,,,http://www.redfin.com/TX/Unknown/Unknown-76801/home/114024270,NTREIS,13610352,N,Y,31.859732,-99.044419
PAST SALE,August-2-2018,Vacant Land,6361 County Road 551,Brownwood,TX,76801,119900,0,,,,1430902,,596,,,Sold,,,http://www.redfin.com/TX/Brownwood/6361-Co-Rd-551-76801/home/114062175,NTREIS,13612488,N,Y,31.810554,-99.100447
PAST SALE,February-16-2018,Vacant Land,13 Oak Hill Cir,Brownwood,TX,76801,32500,0,,Oak Hill,,37026,,763,,,Sold,,,http://www.redfin.com/TX/Brownwood/13-Oak-Hill-Cir-76801/home/104463233,NTREIS,13352382,N,Y,31.646001,-99.0039321
PAST SALE,February-16-2018,Vacant Land,14 Oak Hill Cir,Brownwood,TX,76801,32500,0,,Oak Hill,,34412,,763,,,Sold,,,http://www.redfin.com/TX/Brownwood/14-Oak-Hill-Cir-76801/home/104464864,NTREIS,13352389,N,Y,31.646035,-99.004808
PAST SALE,February-6-2018,Vacant Land,75 Oak Hill Cir,Brownwood,TX,76801,99500,0,,Kerr County School Land,,79192,,773,,,Sold,,,http://www.redfin.com/TX/Brownwood/75-Oak-Hill-Cir-76801/home/112999205,NTREIS,13529388,N,Y,31.640637,-99.0028774
PAST SALE,,Vacant Land,Co Rd 594,,TX,76801,40000,,,,,45999,,,,,,,,http://www.redfin.com/TX/Unknown/Co-Rd-594-76801/home/74989605,,,N,Y,31.836385,-99.078204
PAST SALE,September-11-2017,Vacant Land,16650 Hwy 377 S,Brookesmith,TX,76827,116995,0,,Coopers Prairie Sub,,1577743,,921,,,Sold,,,http://www.redfin.com/TX/Brookesmith/16650-U-S-377-76827/home/118266143,NTREIS,13621807,N,Y,31.5056486,-99.1279642
PAST SALE,December-22-2017,Vacant Land,20 County Road 178,Bangs,TX,76823,78000,0,,Bangs,,871200,,819,,,Sold,,,http://www.redfin.com/TX/Unknown/20-76823/home/143010044,NTREIS,13657111,N,Y,31.715006,-99.163222
PAST SALE,May-30-2018,Vacant Land,1010 Gantt St,Bangs,TX,76823,26000,0,,Sunset Terrace,,81109,,660,,,Sold,,,http://www.redfin.com/TX/Bangs/1010-Gantt-St-76823/home/55060208,NTREIS,13685052,N,Y,31.7149136,-99.1207091
PAST SALE,May-4-2018,Vacant Land,FM 1849,Bangs,TX,76823,17900,0,,SEE REMARKS,,146362,,686,,,Sold,,,http://www.redfin.com/TX/Bangs/FM-1849-76823/home/142955051,NTREIS,13651720,N,Y,31.719807,-99.101568
PAST SALE,June-28-2018,Vacant Land,3030 Lake Shore Dr,Other,TX,76857,27000,,,,,33750,,631,,15,Sold,,,http://www.redfin.com/TX/Other/3030-Lake-Shore-Dr-76857/home/144792277,ACTRIS,7716991,N,Y,31.912997,-99.01535
PAST SALE,October-3-2017,Vacant Land,Oak Point Dr,May,TX,76857,8000,0,,Oak Point Ph Two,,22303,,899,,21,Sold,,,http://www.redfin.com/TX/Unknown/Oak-Point-Dr-76857/home/74988964,NTREIS,13685603,N,Y,31.870809,-99.008702
PAST SALE,May-1-2017,Vacant Land,8060 Hill St,Brownwood,TX,76801,55000,0,,Lake Shore,,21780,,1054,,,Sold,,,http://www.redfin.com/TX/Brownwood/8060-Hill-St-76801/home/55068038,NTREIS,13531643,N,Y,31.83526,-99.097003
PAST SALE,May-22-2017,Vacant Land,656 Oak Point Dr,May,TX,76801,175000,0,,Oak Point Ph Two,,22172,2009,1033,,,Sold,,,http://www.redfin.com/TX/May/656-Oak-Point-Dr-76857/home/107396435,NTREIS,13482431,N,Y,31.8739831,-99.0080614
PAST SALE,March-28-2017,Vacant Land,1ST,Brownwood,TX,76801,2940,0,,Cleveland Add,,22651,,1088,,,Sold,,,http://www.redfin.com/TX/Brownwood/1st-St-76801/home/108521286,NTREIS,13437681,N,Y,31.708595,-98.98
PAST SALE,May-26-2017,Vacant Land,County Road 225,Brownwood,TX,76801,26900,0,,Country Club West Sub,,43996,,1029,,,Sold,,,http://www.redfin.com/TX/Brownwood/Unknown-Unknown/home/113868483,NTREIS,13594091,N,Y,31.59391,-99.011859
PAST SALE,May-4-2017,Vacant Land,County Road 574,Brownwood,TX,76801,21000,0,,Mountain View Oaks Sub,,58588,,1051,,,Sold,,,http://www.redfin.com/TX/Unknown/Unknown-76801/home/112379057,NTREIS,13507100,N,Y,31.815528,-99.073867
PAST SALE,June-29-2018,Vacant Land,3050 Cooks Ln,Early,TX,76802,59995,0,,Twin Hills Sub,,376707,,630,,,Sold,,,http://www.redfin.com/TX/Early/3050-Cook-s-Ln-76802/home/143477059,NTREIS,13850310,N,Y,31.715137,-98.929624
PAST SALE,September-25-2018,Vacant Land,County Road 339,Early,TX,76802,47500,0,,,,1001880,,542,,,Sold,,,http://www.redfin.com/TX/Unknown/Unknown-76802/home/128970264,NTREIS,13630644,N,Y,31.784383,-98.924763
PAST SALE,April-30-2019,Vacant Land,1 Oak Point Dr,Lake Brownwood,TX,76857,55000,0,,Woodbridge Estates,,36154,,325,,21,Sold,,,http://www.redfin.com/TX/Unknown/1-Oak-Point-Dr-76857/home/56302702,NTREIS,12156377,N,Y,31.890912,-98.975548
PAST SALE,April-30-2019,Vacant Land,2 Oak Point Dr,Lake Brownwood,TX,76857,55000,0,,Woodbridge Estates,,35283,,325,,21,Sold,,,http://www.redfin.com/TX/Unknown/2-Oak-Point-Dr-76857/home/56302704,NTREIS,12156391,N,Y,31.891185,-98.975552
