SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-14-2018,Vacant Land,124 Encino Blanco,Adkins,TX,78101,40000,,,Tierra Robles,,49222,,451,,,Sold,,,http://www.redfin.com/TX/Adkins/124-Encino-Blanco-78101/home/48535814,Sabor,1318338,N,Y,29.272495,-98.209128
PAST SALE,June-25-2018,Vacant Land,0 W Robin Lynn,Somerset,TX,78069,37500,,,Forest Oaks,85813,85813,,501,0,,Sold,,,http://www.redfin.com/TX/Somerset/900-Forest-Oaks-Dr-78069/unit-D/home/48583256,Sabor,1303555,N,Y,29.182963,-98.706984
PAST SALE,September-28-2018,Vacant Land,212 Deer Run St,Pleasanton,TX,78064,45000,,,Deer Run,,84942,,406,,,Sold,,,http://www.redfin.com/TX/Pleasanton/212-Deer-Run-St-78064/unit-R/home/48599791,Sabor,1333612,N,Y,28.980261,-98.524902
PAST SALE,November-28-2018,Vacant Land,170 Eaglerock,Poteet,TX,78064,32000,,,Trophy Oaks,,44431,,345,,,Sold,,,http://www.redfin.com/TX/Unknown/Red-Fox-78065/home/48594940,Sabor,1345476,N,Y,29.136297,-98.672484
PAST SALE,May-1-2018,Vacant Land,50 County Road 308,Jourdanton,TX,78026,110000,,,N/a,,653400,,556,,,Sold,,,http://www.redfin.com/TX/Jourdanton/308-County-Rd-78026/home/48587246,Sabor,1292650,N,Y,28.9400074,-98.55518
PAST SALE,,Vacant Land,WHITLEY RD,,TX,,6000,,,,,40075,,,,,,,,http://www.redfin.com/TX/Unknown/WHITLEY-RD-Unknown/home/48596581,,,N,Y,29.066452,-98.79864
PAST SALE,December-6-2017,Vacant Land,95 Trophy Ln,Poteet,TX,78065,45000,,,Tropy Oaks,152460,152460,,702,0,,Sold,,,http://www.redfin.com/TX/Poteet/95-Trophy-Ln-78065/home/48590235,Sabor,1257786,N,Y,29.141201,-98.680928
PAST SALE,December-15-2017,Vacant Land,0 E Bob White Dr,Somerset,TX,78069,47000,,,Forest Oaks,,168577,,693,,,Sold,,,http://www.redfin.com/TX/Somerset/0-W-Bob-White-Dr-78069/home/143819053,Sabor,1279572,N,Y,29.1814215,-98.7082456
PAST SALE,November-10-2017,Vacant Land,0 River Oaks,Poteet,TX,78065,62500,,,River Oaks,,265280,,728,,,Sold,,,http://www.redfin.com/TX/Unknown/River-Oaks-Dr-78065/home/48595019,Sabor,1274360,N,Y,29.091044,-98.714219
PAST SALE,February-14-2018,Vacant Land,0 Majestic Oaks,Poteet,TX,78065,37500,,,N/a,,131986,,632,,,Sold,,,http://www.redfin.com/TX/Unknown/River-Oaks-Dr-78065/home/48595009,Sabor,1272764,N,Y,29.100297,-98.684765
PAST SALE,November-27-2017,Vacant Land,840 Atascosa County Road 101,Floresville,TX,78114,115000,,,Townsend Farms,,488743,,711,,,Sold,,,http://www.redfin.com/TX/Floresville/840-78114/home/143016316,Sabor,1259000,N,Y,29.0142114,-98.3172593
PAST SALE,December-28-2017,Vacant Land,661 County Road 121,Floresville,TX,78114,18000,,,,,43560,,680,,,Sold,,,http://www.redfin.com/TX/Floresville/661-County-Rd-121-78114/home/48526617,Sabor,1280969,N,Y,29.1891167,-98.254601
PAST SALE,March-15-2018,Vacant Land,116 Colibro Crk,La Vernia,TX,78121,39900,,,Out/wilson Co,,44300,,603,,,Sold,,,http://www.redfin.com/TX/La-Vernia/116-Colibro-Creek-Dr-78121/home/109843839,Sabor,1190920,N,Y,29.3676734,-98.1854133
PAST SALE,January-8-2019,Vacant Land,84 Grey Fox,Poteet,TX,78065,35200,,,Trophy Oaks,,43560,,304,,,Sold,,,http://www.redfin.com/TX/Poteet/84-Grey-Fox-78065/home/146953285,Sabor,1356271,N,Y,29.134707,-98.673687
PAST SALE,May-16-2018,Vacant Land,3074 FM 3175,Lytle,TX,78052,42000,,,N/a,,43560,,541,,,Sold,,,http://www.redfin.com/TX/Lytle/FM3175-Unknown/home/145574052,Sabor,1301303,N,Y,29.2029,-98.760229
PAST SALE,January-5-2018,Vacant Land,733 Highland St,Poth,TX,78147,38000,,,Highland Meadows - Wilson Coun,18524,18730,,672,2,,Sold,,,http://www.redfin.com/TX/Poth/733-Highland-St-78147/home/109844201,Sabor,1273610,N,Y,29.080095,-98.0885341
PAST SALE,November-17-2017,Vacant Land,160 Scenic Hills Dr,La Vernia,TX,78121,52000,,,Triple R Ranch,,136125,,721,,,Sold,,,http://www.redfin.com/TX/La-Vernia/160-Scenic-Hills-Dr-78121/home/48535665,Sabor,1241976,N,Y,29.286299,-98.138228
