SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Mobile/Manufactured Home,340 Bobby Clark Dr,Canyon Lake,TX,78133,45000,,1.0,,884,11970,1986,,51,,,,,http://www.redfin.com/TX/Canyon-Lake/340-Bobby-Clark-Dr-78133/home/33399018,,,N,Y,29.871023,-98.294316
PAST SALE,October-19-2018,Mobile/Manufactured Home,542 Northgate Cir,New Braunfels,TX,78130,64500,3,2.0,Northgate,1344,11700,1999,551,48,,Sold,,,http://www.redfin.com/TX/New-Braunfels/542-Northgate-Cir-78130/home/33489509,Sabor,1341016,N,Y,29.7387367,-98.08188
PAST SALE,January-11-2019,Mobile/Manufactured Home,10020 Rebecca Creek Rd,Spring Branch,TX,78070,113500,3,2.0,Rebecca Creek Park,1482,19166,2006,467,77,5,Sold,,,http://www.redfin.com/TX/Spring-Branch/10020-Rebecca-Creek-Rd-78070/home/33458287,Sabor,1346897,N,Y,29.9157214,-98.3669305
PAST SALE,July-9-2019,Mobile/Manufactured Home,1215 Cypress Dr,Canyon Lake,TX,78133,80000,2,2.0,Tamarack Shores,1056,14810,1998,288,76,2,Sold,,,http://www.redfin.com/TX/Canyon-Lake/1215-Cypress-Dr-78133/home/33474518,Sabor,1373925,N,Y,29.922443,-98.243777
PAST SALE,October-18-2019,Mobile/Manufactured Home,565 Qappuella Dr,Canyon Lake,TX,78133,105000,3,2.0,Emerald Valley,1120,21780,1986,187,94,,Sold,,,http://www.redfin.com/TX/Canyon-Lake/565-Qappuella-Dr-78133/home/33427520,Sabor,1403690,N,Y,29.8719841,-98.1731022
PAST SALE,November-16-2018,Mobile/Manufactured Home,2533 Waterfront Park Dr,Canyon Lake,TX,78133,82500,2,1.0,Waterfront Park,1056,42688,1969,523,78,,Sold,,,http://www.redfin.com/TX/Canyon-Lake/2533-Waterfront-Park-Dr-78133/home/33478396,Sabor,1344421,N,Y,29.8646862,-98.2665221
PAST SALE,August-13-2018,Mobile/Manufactured Home,1626 Ridgewind,Canyon Lake,TX,78133,78000,3,1.0,Waterfront Park,1200,18730,1979,618,65,,Sold,,,http://www.redfin.com/TX/Canyon-Lake/1626-Ridge-Wind-78133/home/33478550,Sabor,1276414,N,Y,29.862285,-98.2638397
PAST SALE,April-27-2018,Mobile/Manufactured Home,1538 Ridge Wind,Canyon Lake,TX,78133,51820,2,2.0,Waterfront Park,924,30056,1975,726,56,,Sold,,,http://www.redfin.com/TX/Canyon-Lake/1538-Ridge-Wind-78133/home/33478531,Sabor,1288362,N,Y,29.86113,-98.2650794
PAST SALE,August-30-2019,Mobile/Manufactured Home,96 Gary Ct,Spring Branch,TX,78070,92000,3,2.0,Deer River,1368,24393,2003,236,67,,Sold,,,http://www.redfin.com/TX/Spring-Branch/96-Gary-Ct-78070/home/33422738,Sabor,1395748,N,Y,29.9493365,-98.3871911
PAST SALE,February-28-2019,Mobile/Manufactured Home,54 Blaze Ct,Spring Branch,TX,78070,80000,2,1.0,Deer River,806,22651,2004,419,99,,Sold,,,http://www.redfin.com/TX/Spring-Branch/54-Blaze-Ct-78070/home/33422750,Sabor,1336262,N,Y,29.9507538,-98.3874694
PAST SALE,October-31-2018,Mobile/Manufactured Home,1248 Willow Dr,Canyon Lake,TX,78133,90000,3,2.0,Tamarack Shores,1224,20037,2014,539,74,2,Sold,,,http://www.redfin.com/TX/Canyon-Lake/1248-Willow-Dr-78133/home/110079060,Sabor,1307612,N,Y,29.9253787,-98.2444781
