SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-16-2020,Vacant Land,County Rd 2184,Gainesville,TX,76240,69000,0,,Longview Estates,,130680,,184,,,Sold,,,http://www.redfin.com/TX/Callisburg/Island-Rd-76240/home/146845462,NTREIS,14026380,N,Y,33.587353,-96.991582
PAST SALE,June-29-2020,Vacant Land,Hilltop Dr,Gainesville,TX,76240,39900,0,,Sadler H,,59242,,79,,,Sold,,,http://www.redfin.com/TX/GAINESVILLE/HILLTOP-DR-76240/home/161581306,NTREIS,14348486,N,Y,33.759377,-97.218958
PAST SALE,April-6-2020,Vacant Land,County RD 200,Valley View,TX,76272,65000,0,,"CR 200 Estates Addition, Phase 2",,43560,,163,,,Sold,,,http://www.redfin.com/TX/Valley-View/Co-Rd-200-76272/home/143974142,NTREIS,14166000,N,Y,33.424698,-97.197158
PAST SALE,July-10-2020,Vacant Land,Reason Jones Rd,Valley View,TX,76272,80000,0,,Mesquite Ranch Addition,,108900,,68,,,Sold,,,http://www.redfin.com/TX/VALLEY-VIEW/REASON-JONES-RD-76272/home/73783198,NTREIS,14317580,N,Y,33.433125,-97.035509
PAST SALE,March-5-2020,Vacant Land,2208 Aspen Rd,Gainesville,TX,76240,59500,0,,Gross M,,212573,,195,,,Sold,,,http://www.redfin.com/TX/Gainesville/2208-N-Aspen-Rd-76240/home/108297867,NTREIS,14092960,N,Y,33.6512315,-97.120145
PAST SALE,February-18-2020,Vacant Land,1585 Northshore,Valley View,TX,76272,79900,0,,North Oaks,,101713,,211,,,Sold,,,http://www.redfin.com/TX/Valley-View/1585-Northshore-Ln-76272/home/163842299,NTREIS,14196262,N,Y,33.5053071,-97.0788096
PAST SALE,March-23-2020,Vacant Land,958 County Road 211,Gainesville,TX,76240,57000,0,,Carryvar P,,24219,,177,,,Sold,,,http://www.redfin.com/TX/Gainesville/958-Co-Rd-211-76240/home/73778078,NTREIS,14175634,N,Y,33.5963656,-97.0150896
PAST SALE,December-17-2019,Vacant Land,Woodland Ct,Gainesville,TX,76240,32000,0,,Ridge The,,54886,,274,,,Sold,,,http://www.redfin.com/TX/GAINESVILLE/WOODLAND-CT-76240/home/143835613,NTREIS,14194581,N,Y,33.617254,-97.112777
PAST SALE,July-1-2020,Vacant Land,Woodland Ct,Gainesville,TX,76240,32000,0,,Ridge The,,54886,,77,,,Sold,,,http://www.redfin.com/TX/GAINESVILLE/WOODLAND-CT-76240/home/110247021,NTREIS,14369783,N,Y,33.616594,-97.112773
PAST SALE,January-2-2019,Vacant Land,0 County RD 2251,Valley View,TX,76272,62000,0,,Ranch The,,87556,,623,,10,Sold,,,http://www.redfin.com/TX/Unknown/Unknown-76272/home/147955345,NTREIS,13949916,N,Y,33.471234,-97.078191
PAST SALE,March-22-2019,Vacant Land,111 Bowie Dr,Lake Kiowa,TX,76240,37500,0,,Lake Kiowa,,23261,,544,,266,Sold,,,http://www.redfin.com/TX/Gainesville/111-Bowie-Dr-76240/home/73781393,NTREIS,14039082,N,Y,33.569197,-97.0037887
PAST SALE,May-14-2019,Vacant Land,168 Mule Run,Gainesville,TX,76240,80000,0,,Fcsl,,174240,,491,,,Sold,,,http://www.redfin.com/TX/Gainesville/100-Mule-Run-76240/home/143835170,NTREIS,14071643,N,Y,33.736758,-97.06439
PAST SALE,December-20-2019,Vacant Land,0 County Rd 405,Gainesville,TX,76240,26500,0,,Jessup T,,43560,,271,,,Sold,,,http://www.redfin.com/TX/Unknown/County-Road-405-76240/home/169842325,NTREIS,14226855,N,Y,33.651292,-97.131457
PAST SALE,March-18-2020,Vacant Land,W Fm 1199,Lindsay,TX,76250,27000,0,,Jessup T,,47916,,182,,,Sold,,,http://www.redfin.com/TX/Lindsay/Unknown-76250/home/170460833,NTREIS,14270354,N,Y,33.674306,-97.258946
PAST SALE,October-30-2019,Vacant Land,620 N Dixon St,Gainesville,TX,76240,35000,0,,Scott Add,,12589,1940,322,,,Sold,,,http://www.redfin.com/TX/Gainesville/620-N-Dixon-St-76240/home/110247081,NTREIS,14172589,N,Y,33.6302636,-97.1448277
PAST SALE,May-5-2020,Vacant Land,County Road 240,Valley View,TX,76272,65000,0,,Westlake of Valley View,,108900,,134,,,Sold,,,http://www.redfin.com/TX/Unknown/Co-Rd-240-76272/home/170522274,NTREIS,14281429,N,Y,33.477235,-97.119533
PAST SALE,May-4-2020,Vacant Land,261 Clark Dr Lot 259,Valley View,TX,76272,7000,0,,Pioneer Valley,,6665,,135,,,Sold,,,http://www.redfin.com/TX/Valley-View/261-Clark-Dr-76272/unit-259/home/171237522,NTREIS,14309071,N,Y,33.4777193,-97.0844607
PAST SALE,January-18-2019,Vacant Land,203 Cayuga Trl,Lake Kiowa,TX,76240,39900,0,,Lake Kiowa,,14985,,607,,254,Sold,,,http://www.redfin.com/TX/Gainesville/203-Cayuga-Trl-76240/home/110247080,NTREIS,13823000,N,Y,33.5891682,-97.0169
PAST SALE,May-7-2019,Vacant Land,Woodland Ct #16,Gainesville,TX,76240,24900,0,,Ridge The,,43560,,498,,,Sold,,,http://www.redfin.com/TX/Gainesville/Woodland-Ct-76240/unit-16/home/160464505,NTREIS,14022939,N,Y,33.616745,-97.112023
PAST SALE,March-1-2019,Vacant Land,KIRBY Rd,Callisburg,TX,76240,59900,0,,FCSL 1248 BLOCK 12,,130680,,565,,,Sold,,,http://www.redfin.com/TX/Callisburg/KIRBY-Rd-76240/home/146507285,NTREIS,13909126,N,Y,33.702122,-97.021625
PAST SALE,October-30-2018,Vacant Land,12650 FM 678,Callisburg,TX,76240,54000,0,,FCSL 1248 BLOCK 3 ACRES 2.0,,87120,,687,,,Sold,,,http://www.redfin.com/TX/Whitesboro/12650-FM678-76273/home/146411817,NTREIS,13870425,N,Y,33.6891343,-97.0047236
PAST SALE,March-22-2019,Vacant Land,3772 County Road 136,Whitesboro,TX,76273,50000,0,,Poe J,,186437,,544,,,Sold,,,http://www.redfin.com/TX/Whitesboro/3772-Co-Rd-136-76273/home/147362572,NTREIS,13942709,N,Y,33.6795115,-96.9847759
PAST SALE,May-30-2019,Vacant Land,County Road 178,Gainesville,TX,76240,55000,0,,,,138956,,475,,,Sold,,,http://www.redfin.com/TX/Unknown/Co-Rd-178-76240/home/146162477,NTREIS,14048247,N,Y,33.632561,-97.026415
PAST SALE,July-29-2020,Vacant Land,801 Myrtle St,Gainesville,TX,76240,9900,0,,Mccain Add,,14810,,49,,,Sold,,,http://www.redfin.com/TX/Gainesville/801-Myrtle-St-76240/home/107350408,NTREIS,14307003,N,Y,33.6352053,-97.1384455
PAST SALE,July-31-2019,Vacant Land,707 Conastoga Rd,Valley View,TX,76272,20000,0,,Pioneer Valley,,7710,,413,,,Sold,,,http://www.redfin.com/TX/Valley-View/707-Conastoga-Rd-76272/home/161589761,NTREIS,14117705,N,Y,33.4819326,-97.0856804
PAST SALE,July-23-2019,Vacant Land,125 Mohave Dr E,Lake Kiowa,TX,76240,28900,0,,Lake Kiowa Map 12,,14985,,421,,256,Sold,,,http://www.redfin.com/TX/Gainesville/125-Mohave-Dr-E-76240/home/143835189,NTREIS,13923070,N,Y,33.5806272,-97.0094306
PAST SALE,August-3-2020,Vacant Land,201 E Pueblo,Lake Kiowa,TX,76240,38000,0,,Lake Kiowa,,13068,,44,,260,Sold,,,http://www.redfin.com/TX/Gainesville/201-Pueblo-Dr-76240/home/102137881,NTREIS,14290099,N,Y,33.5553516,-96.9968497
PAST SALE,June-25-2020,Vacant Land,128 Mohave Dr E,Lake Kiowa,TX,76240,29900,0,,Lake Kiowa Map 12,,15987,,83,,260,Sold,,,http://www.redfin.com/TX/Gainesville/128-Mohave-Dr-E-76240/home/107349440,NTREIS,14278415,N,Y,33.5814157,-97.0106138
PAST SALE,August-12-2019,Vacant Land,121 Kiowa Dr S,Lake Kiowa,TX,76240,49500,0,,Lake Kiowa,,17685,,401,,260,Sold,,,http://www.redfin.com/TX/Gainesville/121-Kiowa-Dr-76240/home/167106221,NTREIS,14093295,N,Y,33.5544337,-97.0162805
PAST SALE,October-15-2019,Vacant Land,129 Mohave Dr E,Lake Kiowa,TX,76240,28900,0,,Lake Kiowa Map 12,,14985,,337,,255,Sold,,,http://www.redfin.com/TX/Gainesville/129-Mohave-Dr-E-76240/home/143834534,NTREIS,14065786,N,Y,33.5810394,-97.0094229
PAST SALE,April-1-2019,Vacant Land,24 Bonham Ct,Valley View,TX,76272,15000,0,,Pioneer Valley,,9670,,534,,,Sold,,,http://www.redfin.com/TX/Valley-View/24-Bonham-Ct-76272/home/161027413,NTREIS,14035267,N,Y,33.4884948,-97.0879406
PAST SALE,January-4-2019,Vacant Land,401 S Frontage Rd,Valley View,TX,76272,100000,0,,Railroad Add,,9104,,621,,,Sold,,,http://www.redfin.com/TX/Valley-View/401-S-Frontage-Rd-76272/home/73782600,NTREIS,13950341,N,Y,33.4905,-97.163296
PAST SALE,January-31-2020,Vacant Land,2322 Jodi Ln,Gainesville,TX,76240,17500,0,,Eastridge Estate,,8756,,229,,,Sold,,,http://www.redfin.com/TX/Gainesville/2322-Jodi-Ln-76240/home/73779718,NTREIS,14165419,N,Y,33.6514008,-97.1172622
PAST SALE,August-2-2019,Vacant Land,951 Stroud,Gainesville,TX,76240,69000,0,,Stroud Fh,,135472,,411,,,Sold,,,http://www.redfin.com/TX/Gainesville/951-Stroud-76240/home/143974580,NTREIS,13909938,N,Y,33.6029354,-97.1200568
PAST SALE,March-19-2019,Vacant Land,506 S Lee St,Valley View,TX,76272,29000,0,,Newton Sub,,5201,,547,,,Sold,,,http://www.redfin.com/TX/Valley-View/506-S-Lee-St-76272/home/73778109,NTREIS,13922459,N,Y,33.4847926,-97.1650319
PAST SALE,March-7-2020,Vacant Land,20 Pickens Ct,Valley View,TX,76272,19900,0,,Pioneer Valley,,15987,,193,,,Sold,,,http://www.redfin.com/TX/Valley-View/20-Pickens-Ct-76272/home/73778634,NTREIS,14127761,N,Y,33.4866909,-97.0805461
PAST SALE,May-4-2020,Vacant Land,261 Clark Dr Lot 258,Valley View,TX,76272,7000,0,,Pioneer Valley,,6665,,135,,,Sold,,,http://www.redfin.com/TX/Valley-View/261-Clark-Dr-76272/unit-258/home/171172360,NTREIS,14309065,N,Y,33.4777193,-97.0844607
PAST SALE,September-15-2020,Vacant Land,Knotted Oaks Court Rd,Valley View,TX,76272,74900,0,,Knotted Oaks,,57499,,1,,,Sold,,,http://www.redfin.com/TX/Valley-View/Knotted-Oaks-Court-RD-Unknown/home/170553949,NTREIS,14376285,N,Y,33.491426,-97.073402
