SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-9-2019,Vacant Land,0 S Hwy 34,Greenville,TX,75402,320000,,,Lot,,1260191,,294,,,Sold,,,http://www.redfin.com/TX/Greenville/Unknown-75402/home/167019607,HARMLS,26027725,N,Y,33.028376,-96.107559
PAST SALE,November-8-2018,Vacant Land,7026 S US HIGHWAY 69,Lone Oak,TX,75453,250000,0,,,,871200,,537,,,Sold,,,http://www.redfin.com/TX/Lone-Oak/7026-US-69-75453/home/35603412,NTREIS,13929705,N,Y,33.0088952,-95.9541205
PAST SALE,October-30-2019,Vacant Land,995 County Road 5075 Unit 24 AC,Leonard,TX,75452,246169,0,,Moore Martin,,1088564,,181,,,Sold,,,http://www.redfin.com/TX/Leonard/995-County-Road-5075-75452/unit-24-AC/home/168900341,NTREIS,14171235,N,Y,33.3528978,-96.23742
PAST SALE,February-20-2020,Vacant Land,0 Coit Rd,Quinlan,TX,75474,240000,0,,,,501245,,68,,,Sold,,,http://www.redfin.com/TX/Unknown/Coit-Rd-75474/home/33725985,NTREIS,14097890,N,Y,32.880577,-96.072241
PAST SALE,August-27-2018,Vacant Land,30 Kuykendall St,Quinlan,TX,75474,225000,0,,Issac Hamby,,1306800,,610,,,Sold,,,http://www.redfin.com/TX/Quinlan/30-N-Kuykendall-St-75474/home/146431168,NTREIS,13901700,N,Y,32.9111649,-96.1333925
PAST SALE,December-7-2018,Vacant Land,5996 County Road 2646,Royse City,TX,75189,220000,0,,"A0946 SHELBY COUNTY SCHOOL LAND,TRACT 33, ACR",,513137,,508,,,Sold,,,http://www.redfin.com/TX/Royse-City/5996-Co-Rd-2646-75189/home/35567638,NTREIS,13960282,N,Y,32.987173,-96.269305
PAST SALE,September-6-2019,Vacant Land,38 County Rd 4615,Wolfe City,TX,75496,220000,0,,Jesse Farrell Surv Abs 327,,1684117,,235,,,Sold,,,http://www.redfin.com/TX/Wolfe-City/38-County-Road-4615-75496/home/166468049,NTREIS,14088771,N,Y,33.2850557,-96.0692118
PAST SALE,March-26-2020,Vacant Land,11012 County Road 2316,Terrell,TX,75160,211000,0,,A0942 Santos joseph,,683979,,33,,,Sold,,,http://www.redfin.com/TX/Terrell/11012-Co-Rd-2316-75160/home/35553175,NTREIS,14285743,N,Y,32.8574426,-96.2087924
PAST SALE,August-23-2018,Vacant Land,10 County Road 2526,Royse City,TX,75189,209900,0,,The Dominion,,217800,,614,,31,Sold,,,http://www.redfin.com/TX/Royse-City/10-Unknown/home/145743016,NTREIS,13847315,N,Y,32.954818,-96.207907
PAST SALE,November-7-2018,Vacant Land,,Caddo Mills,TX,75135,205000,0,,Una Lago Estates,,864230,,538,,,Sold,,,http://www.redfin.com/TX/Caddo-Mills/Undisclosed-address-75135/home/143417665,NTREIS,13680001,N,Y,33.0238351,-96.1653964
PAST SALE,October-24-2018,Vacant Land,20 Fm 751,Quinlan,TX,75474,200000,0,,Rease Price,,831996,,552,,,Sold,,,http://www.redfin.com/TX/Quinlan/20-Farm-to-Market-Road-751-75474/home/146198250,NTREIS,13886277,N,Y,32.9017861,-96.1091241
PAST SALE,July-12-2019,Vacant Land,Hwy 34,Quinlan,TX,75474,200000,0,,"Jos S. Irvine,",,1112305,,291,,,Sold,,,http://www.redfin.com/TX/Quinlan/Unknown-Unknown/home/166803986,NTREIS,14096590,N,Y,32.841245,-96.162778
PAST SALE,November-11-2019,Vacant Land,103 Open Water Pt,Quinlan,TX,75474,199500,0,,Neal H F Add,,45738,,169,,50,Sold,,,http://www.redfin.com/TX/Quinlan/103-Open-Water-PT-75474/home/160740295,NTREIS,14049280,N,Y,32.9104,-96.13553
PAST SALE,October-3-2019,Vacant Land,2580 PR 1180,Celeste,TX,75423,196000,0,,,,1742400,,208,,,Sold,,,http://www.redfin.com/TX/Celeste/2580-Private-Road-1180-75423/home/165445309,NTREIS,14085181,N,Y,33.2708306,-96.1890618
PAST SALE,October-10-2018,Vacant Land,7382 S Fm 36,Quinlan,TX,75474,195000,0,,,,966727,1974,566,,,Sold,,,http://www.redfin.com/TX/Quinlan/7382-FM-36-75474/home/35603549,NTREIS,13713146,N,Y,32.9372957,-96.1677889
PAST SALE,March-22-2019,Vacant Land,0 Fm 2874,Commerce,TX,75428,193230,0,,,,766046,,403,,,Sold,,,http://www.redfin.com/TX/Commerce/Farm-to-Market-Road-2874-Unknown/home/147799041,NTREIS,13907778,N,Y,33.2287,-95.978569
PAST SALE,February-4-2019,Vacant Land,0 COUNTY RD 3216,Lone Oak,TX,75453,190000,0,,A0844 PRICE ISAAC,,871200,,449,,,Sold,,,http://www.redfin.com/TX/Unknown/Co-Rd-3216-75453/home/147710349,NTREIS,13956647,N,Y,33.037956,-95.883227
PAST SALE,June-18-2018,Vacant Land,14 County Road 2526,Royse City,TX,75189,189900,0,,The Dominion,,217800,,680,,31,Sold,,,http://www.redfin.com/TX/Royse-City/Unknown-Unknown/home/145302673,NTREIS,13815676,N,Y,32.965353,-96.208338
PAST SALE,June-20-2019,Vacant Land,32 County Rd 1092,Celeste,TX,75423,188800,0,,Coolidge Estates,,1393920,,313,,,Sold,,,http://www.redfin.com/TX/Unknown/32-County-Road-1092-75423/home/148564968,NTREIS,13994475,N,Y,33.28997,-96.224214
PAST SALE,June-28-2018,Vacant Land,15 County Road 2526,Royse City,TX,75189,179900,0,,The Dominion,,217800,,670,,31,Sold,,,http://www.redfin.com/TX/Royse-City/15-Unknown/home/145650296,NTREIS,13841758,N,Y,32.963008,-96.208929
PAST SALE,June-4-2018,Vacant Land,Hwy 66,Royse City,TX,75189,175000,0,,"A0188 J Stephenson, Tract 27-1, Acres 26.83",,1168715,,694,,,Sold,,,http://www.redfin.com/TX/Royse-City/Unknown-Unknown/home/147434726,NTREIS,13757640,N,Y,33.017938,-96.281694
PAST SALE,January-24-2020,Vacant Land,County Rd 2430,Quinlan,TX,75474,175000,0,,,,370260,,95,,,Sold,,,http://www.redfin.com/TX/Quinlan/County-Rd-2430-75474/home/167579310,NTREIS,14142388,N,Y,32.838714,-96.095032
PAST SALE,October-5-2018,Vacant Land,0 Hwy 34 Hwy,Quinlan,TX,75474,170000,0,,MCCASLAND JAMES A F,,745137,,571,,,Sold,,,http://www.redfin.com/TX/Quinlan/Unknown-Unknown/home/146200224,NTREIS,13843290,N,Y,32.924676,-96.122824
PAST SALE,July-16-2018,Vacant Land,4 County Road 2526,Royse City,TX,75189,169900,0,,The Dominion,,217800,,652,,31,Sold,,,http://www.redfin.com/TX/Royse-City/I-30-75189/home/145580594,NTREIS,13837031,N,Y,32.958514,-96.211245
PAST SALE,March-1-2019,Vacant Land,10050 County Rd 2448,Royse City,TX,75189,169500,0,,Hidden Oaks Estates # II,,499633,,424,,,Sold,,,http://www.redfin.com/TX/Royse-City/10050-County-Road-2448-75189/home/146029120,NTREIS,13989526,N,Y,32.863217,-96.2823049
