SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-17-2019,Vacant Land,,Dale,TX,78616,35000,,,Caldwell/Fayette,,43560,,181,,,Sold,,,http://www.redfin.com/TX/Dale/Undisclosed-address-78616/home/145086577,ACTRIS,1209818,N,Y,29.840876,-97.5345402
PAST SALE,June-21-2019,Vacant Land,0 Sand Hill Rd,Dale,TX,78616,115000,,,Campbell Isaac,,596162,,207,,,Sold,,,http://www.redfin.com/TX/Dale/0-Sand-Hill-Rd-78616/home/144386917,HARMLS,67721371,N,Y,29.8487397,-97.5064371
PAST SALE,June-4-2019,Vacant Land,6210 Taylorsville Rd,Dale,TX,78616,59900,,,Caldwell/Fayette,,45302,,224,,19,Sold,,,http://www.redfin.com/TX/Dale/6210-Taylorsville-Rd-78616/home/145524021,ACTRIS,9212312,N,Y,29.9068508,-97.5201488
PAST SALE,July-25-2019,Vacant Land,289 Burdette Wells Rd,Lockhart,TX,78644,60000,,,Caldwell/Fayette,,43560,,173,,,Sold,,,http://www.redfin.com/TX/Lockhart/289-Burdette-Wells-Rd-78644/home/167232909,ACTRIS,9428428,N,Y,29.7836573,-97.6555776
PAST SALE,June-2-2019,Vacant Land,,Lockhart,TX,78644,39900,,,Caldwell/Fayette,,9100,,226,,,Sold,,,http://www.redfin.com/TX/Lockhart/Undisclosed-address-78644/home/146594077,ACTRIS,9614286,N,Y,29.866186,-97.67944
PAST SALE,September-6-2019,Vacant Land,0 Cattlemens Row,Lockhart,TX,78644,108500,,,Caldwell/Fayette,,435817,,130,,,Sold,,,http://www.redfin.com/TX/Unknown/Cattlemens-Row-78644/home/39522262,ACTRIS,5478796,N,Y,29.860303,-97.581238
PAST SALE,September-6-2019,Vacant Land,602 Persimmon St,Lockhart,TX,78644,24000,,,Caldwell/Fayette,,7710,,130,,,Sold,,,http://www.redfin.com/TX/Lockhart/602-Persimmon-St-78644/home/33984442,ACTRIS,7001318,N,Y,29.880125,-97.666145
PAST SALE,May-10-2019,Vacant Land,605 Rosewood St,Lockhart,TX,78644,41000,,,Caldwell/Fayette,,16944,,249,,,Sold,,,http://www.redfin.com/TX/Lockhart/605-Rosewood-St-78644/home/33984452,ACTRIS,4891828,N,Y,29.8797046,-97.6663249
PAST SALE,August-23-2019,Vacant Land,22 Fourth St,Maxwell,TX,78656,25000,,,Caldwell/Fayette,,6200,,144,,,Sold,,,http://www.redfin.com/TX/Maxwell/22-4th-St-78656/home/33977781,ACTRIS,8701229,N,Y,29.881536,-97.794215
PAST SALE,August-23-2019,Vacant Land,751 Rhodes Ln,Harwood,TX,78632,50000,,,Caldwell/Fayette,,87120,,144,,,Sold,,,http://www.redfin.com/TX/Harwood/751-Rhodes-Ln-78632/home/33999077,ACTRIS,2923492,N,Y,29.7040832,-97.4756136
PAST SALE,February-25-2019,Vacant Land,1003 5th St,Lockhart,TX,78644,20000,,,Caldwell/Fayette,,9191,,323,,,Sold,,,http://www.redfin.com/TX/Lockhart/1005-5th-78644/home/33986629,ACTRIS,7031105,N,Y,29.874594,-97.66167
PAST SALE,June-28-2019,Vacant Land,000 County View Rd,Lockhart,TX,78644,68500,,,Caldwell/Fayette,,43560,,200,,,Sold,,,http://www.redfin.com/TX/Lockhart/County-View-Rd-78644/home/40182423,ACTRIS,7621875,N,Y,29.908952,-97.726913
PAST SALE,November-7-2019,Vacant Land,1 (lot 135),Luling,TX,78648,35000,,,The Settlement @ Patriot Ranch,,147232,,68,,30,Sold,,,http://www.redfin.com/TX/Luling/1-lot-135-78648/home/170154149,Sabor,1401188,N,Y,29.6805066,-97.647498
PAST SALE,April-5-2019,Vacant Land,2310 Bridle Path Rd,Luling,TX,78648,43000,,,Caldwell/Fayette,,53143,,284,,,Sold,,,http://www.redfin.com/TX/Luling/2310-Bridal-Path-Rd-78648/home/39523017,ACTRIS,4353752,N,Y,29.7177594,-97.6553726
PAST SALE,April-29-2019,Vacant Land,421 Fox Ln,Lockhart,TX,78644,102500,,,Caldwell/Fayette,,436035,,260,,,Sold,,,http://www.redfin.com/TX/Lockhart/421-Fox-Ln-78644/home/148547899,ACTRIS,6734859,N,Y,29.8408046,-97.5680055
PAST SALE,May-24-2019,Vacant Land,507 Hillcrest Ln,Dale,TX,78616,110000,,,Caldwell/Fayette,,425058,,235,,,Sold,,,http://www.redfin.com/TX/Dale/507-Hillcrest-Ln-78616/home/33978921,ACTRIS,2464518,N,Y,29.989075,-97.616618
PAST SALE,May-21-2019,Vacant Land,1201 S Commerce St,Lockhart,TX,78644,66500,,,Caldwell/Fayette,,12980,,238,,,Sold,,,http://www.redfin.com/TX/Lockhart/1201-S-Commerce-St-78644/home/145953028,ACTRIS,4563489,N,Y,29.871563,-97.667301
PAST SALE,May-20-2019,Vacant Land,588 Calder Rd,Dale,TX,78616,100000,,,Caldwell/Fayette,,66211,,239,,,Sold,,,http://www.redfin.com/TX/Dale/588-Calder-Rd-78616/home/33980273,ACTRIS,9518323,N,Y,30.054905,-97.648896
PAST SALE,February-20-2019,Vacant Land,1796 Rocky Rd,Uhland,TX,78640,127500,,,Caldwell/Fayette,,134600,,328,,,Sold,,,http://www.redfin.com/TX/Kyle/1796-Rocky-Rd-78640/home/34001092,ACTRIS,7096037,N,Y,29.961106,-97.759081
PAST SALE,March-11-2019,Vacant Land,1001 Fifth St,Lockhart,TX,78644,20000,,,Caldwell/Fayette,,,,309,,,Sold,,,http://www.redfin.com/TX/Lockhart/1001-5th-78644/home/33986628,ACTRIS,3583888,N,Y,29.8745586,-97.6619272
PAST SALE,February-11-2019,Vacant Land,612 Loma St,Lockhart,TX,78644,26000,,,Caldwell/Fayette,,11761,,337,,,Sold,,,http://www.redfin.com/TX/Lockhart/612-Loma-St-78644/home/33985551,ACTRIS,5100670,N,Y,29.8943623,-97.6811446
PAST SALE,October-7-2019,Vacant Land,1114 E Bowie St,Luling,TX,78648,130000,,,Luling,,108028,,99,,,Sold,,,http://www.redfin.com/TX/Luling/1114-E-Bowie-St-78648/home/33991701,ACTRIS,4752686,N,Y,29.6769199,-97.64305
PAST SALE,October-15-2019,Vacant Land,321 Burdette Wells Rd,Lockhart,TX,78644,59000,,,Caldwell/Fayette,,43560,,91,,,Sold,,,http://www.redfin.com/TX/Lockhart/321-Burdette-Wells-Rd-78644/home/167985845,ACTRIS,1197748,N,Y,29.7836573,-97.6555776
PAST SALE,October-21-2019,Vacant Land,9750 State Park Rd,Lockhart,TX,78644,131000,,,Lockhart,,226643,,85,,,Sold,,,http://www.redfin.com/TX/Lockhart/9750-State-Park-Rd-78644/home/168676857,ACTRIS,8543722,N,Y,29.7901082,-97.7331693
