SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-3-2019,Vacant Land,1161 Dunkerly,Ennis,TX,75119,58000,0,,Maliska Estates,,103324,,652,,,Sold,,,http://www.redfin.com/TX/Ennis/1161-Dunkerley-Rd-75119/home/112390582,NTREIS,13742640,N,Y,32.3525897,-96.6837414
PAST SALE,August-5-2019,Vacant Land,157 W Wood Dell,Glenn Heights,TX,75154,18999,0,,Lindell Estates,,10019,,528,,,Sold,,,http://www.redfin.com/TX/Red-Oak/157-W-Wood-Dell-Dr-75154/home/33542435,NTREIS,14136535,N,Y,32.5427135,-96.8491925
PAST SALE,June-24-2020,Vacant Land,2503 S Hampton Rd,Glenn Heights,TX,75154,100000,0,,Cinnamon Spgs I,,60505,,204,,,Sold,,,http://www.redfin.com/TX/Glenn-Heights/2503-S-Hampton-Rd-75154/home/146980654,NTREIS,14309247,N,Y,32.5401292,-96.8567517
PAST SALE,March-8-2019,Vacant Land,133 Old Bridge Rd,Waxahachie,TX,75165,95000,0,,Estates Of Garden Valley,,14375,,678,,33,Sold,,,http://www.redfin.com/TX/Waxahachie/133-Old-Bridge-Rd-75165/home/110012640,NTREIS,13937128,N,Y,32.4200088,-96.8095529
PAST SALE,November-7-2019,Vacant Land,E Waco St,Ennis,TX,75119,36000,0,,Highland Ennis-Rev,,11500,,434,,,Sold,,,http://www.redfin.com/TX/ENNIS/E-WACO-ST-75119/home/33633613,NTREIS,14224332,N,Y,32.32989,-96.615074
PAST SALE,March-13-2020,Vacant Land,1001 S Mulberry St,Ennis,TX,75119,39500,0,,Mulberry Street Estates,,15246,,307,,,Sold,,,http://www.redfin.com/TX/Ennis/1001-S-Mulberry-St-75119/home/169943864,NTREIS,14293425,N,Y,32.3249586,-96.6126664
PAST SALE,April-17-2020,Vacant Land,601 Crisp,Ennis,TX,75119,47500,0,,Valley View,,34848,,272,,,Sold,,,http://www.redfin.com/TX/Ennis/601-Crisp-Rd-75119/home/38716432,NTREIS,13935201,N,Y,32.3407679,-96.6278434
PAST SALE,June-24-2019,Vacant Land,403 W Lampasas St,Ennis,TX,75119,17000,0,,Ennis-Dvv,,,,570,,,Sold,,,http://www.redfin.com/TX/Ennis/403-W-Lampasas-St-75119/home/33578468,NTREIS,14062054,N,Y,32.3221475,-96.6274034
PAST SALE,March-20-2020,Vacant Land,E Jefferson St,Palmer,TX,75152,35000,0,,Jefferson Estates,,9757,,300,,,Sold,,,http://www.redfin.com/TX/PALMER/E-JEFFERSON-ST-75152/home/33656054,NTREIS,14288684,N,Y,32.431797,-96.66502
PAST SALE,March-13-2019,Vacant Land,Hardwick Ln,Cedar Hill,TX,76065,49900,0,,Lake Ridge Sec 21,,56410,,673,,25,Sold,,,http://www.redfin.com/TX/Midlothian/Hardwick-Ln-76065/home/53010542,NTREIS,13695451,N,Y,32.541036,-97.005578
