SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-3-2018,Vacant Land,2 Jack Harris Ln,Pottsboro,TX,75076,25000,0,,Simmons Shores,,9975,,697,,10,Sold,,,http://www.redfin.com/TX/Pottsboro/Jack-Harris-Ln-75076/home/144580706,NTREIS,13748904,N,Y,33.819816,-96.676806
PAST SALE,September-4-2018,Vacant Land,N COFFEE Cir,Pottsboro,TX,75076,175000,0,,MILLERS COVE,,15298,,665,,,Sold,,,http://www.redfin.com/TX/POTTSBORO/COFFEE-CIR-75076/home/33554546,NTREIS,13770850,N,Y,33.890154,-96.634182
PAST SALE,August-24-2018,Vacant Land,954 Wilson Rd,Whitewright,TX,75491,85000,0,,,,187308,,676,,,Sold,,,http://www.redfin.com/TX/Whitewright/954-Wilson-Rd-75491/home/147008324,NTREIS,13845365,N,Y,33.4555495,-96.4555464
PAST SALE,July-18-2018,Vacant Land,Texoma Terrace Rd,Denison,TX,75020,25000,0,,Thompson Heights Southeast,,23522,,713,,,Sold,,,http://www.redfin.com/TX/DENISON/TEXOMA-TERRACE-RD-75020/home/33563039,NTREIS,13887502,N,Y,33.812841,-96.589116
PAST SALE,August-20-2018,Vacant Land,115 McDaniel Rd,Tioga,TX,76271,320000,0,,Alex H Martin G-0832,,622908,,680,,,Sold,,,http://www.redfin.com/TX/Tioga/115-McDaniel-Rd-76271/home/144266179,NTREIS,13725474,N,Y,33.4941283,-96.9108592
PAST SALE,September-17-2018,Vacant Land,0 Porch St,Tioga,TX,76271,50000,0,,Mershons Add,,22259,,652,,,Sold,,,http://www.redfin.com/TX/TIOGA/PORCH-ST-76271/home/33648231,NTREIS,13924829,N,Y,33.470006,-96.916904
PAST SALE,September-11-2018,Vacant Land,64 Hackberry,Denison,TX,75020,12000,0,,Rocky Point Estate Sec B,,13983,,658,,,Sold,,,http://www.redfin.com/TX/Denison/64-Hackberry-St-75020/home/146163038,NTREIS,13881496,N,Y,33.8439655,-96.6377949
PAST SALE,August-20-2018,Vacant Land,511 N East St,Sherman,TX,75090,14000,0,,Bonds 2nd Add,,17598,,680,,,Sold,,,http://www.redfin.com/TX/Sherman/511-N-East-St-75090/home/33632542,NTREIS,13833811,N,Y,33.641929,-96.605694
PAST SALE,September-12-2018,Vacant Land,ED DUTTON Rd,Pottsboro,TX,75076,222000,0,,,,348044,,657,,,Sold,,,http://www.redfin.com/TX/POTTSBORO/ED-DUTTON-RD-75076/home/52207330,NTREIS,13637057,N,Y,33.79461,-96.749795
PAST SALE,September-20-2018,Vacant Land,Liberty Rd,Whitesboro,TX,76273,199120,0,,Texoma Bluffs,,749232,,649,,,Sold,,,http://www.redfin.com/TX/Whitesboro/Liberty-Rd-76273/home/146207955,NTREIS,13888371,N,Y,33.656218,-96.906948
PAST SALE,September-19-2018,Vacant Land,Knight Rd,Denison,TX,75020,47500,0,,BLACK ADD,,43560,,650,,,Sold,,,http://www.redfin.com/TX/DENISON/KNIGHT-RD-75020/home/33611749,NTREIS,13787227,N,Y,33.707169,-96.570735
PAST SALE,September-14-2018,Vacant Land,0 Middle Rd,Denison,TX,75021,29900,0,,Thomas Mahuren,,43560,,655,,,Sold,,,http://www.redfin.com/TX/Denison/1616-Middle-Rd-75021/home/33576224,NTREIS,13862353,N,Y,33.7456583,-96.4726025
PAST SALE,July-3-2018,Vacant Land,35 Guy Ln,Pottsboro,TX,75076,48900,0,,Brandon V Lake Living,,43560,,728,,,Sold,,,http://www.redfin.com/TX/Pottsboro/35-Guy-Ln-75076/home/33541650,NTREIS,13403406,N,Y,33.8319187,-96.6827336
PAST SALE,August-28-2018,Vacant Land,2605 Riata Dr,Sherman,TX,75092,65000,0,,Ohanlon Ranch Add Ph 3,,22259,,672,,,Sold,,,http://www.redfin.com/TX/Sherman/2605-Riata-Dr-75092/home/35637219,NTREIS,13904199,N,Y,33.6592221,-96.6470058
PAST SALE,July-20-2018,Vacant Land,0 Karsten Ridge Pass Dr,Gunter,TX,75058,50000,0,,Bridges At Preston Xing Sec 1,,22216,,711,,67,Sold,,,http://www.redfin.com/TX/GUNTER/KARSTEN-RIDGE-PASS-DR-75058/home/33543676,NTREIS,13818167,N,Y,33.432144,-96.717511
PAST SALE,September-11-2018,Vacant Land,6 Delphia Dr,Denison,TX,75021,55999,0,,Blagg James,,261360,,658,,,Sold,,,http://www.redfin.com/TX/Unknown/Delphia-Dr-75021/home/146705000,NTREIS,13914795,N,Y,33.754255,-96.413187
PAST SALE,September-14-2018,Vacant Land,Ila Dr,Pottsboro,TX,75076,25000,0,,Simmons Shores,,14985,,655,,8,Sold,,,http://www.redfin.com/TX/POTTSBORO/ILA-DR-75076/home/33562828,NTREIS,13826464,N,Y,33.821745,-96.674794
PAST SALE,August-9-2018,Vacant Land,0 Windsor Dr,Pottsboro,TX,75076,17500,0,,Cambridge Shores Unit 2,,8712,,691,,,Sold,,,http://www.redfin.com/TX/POTTSBORO/WINDSOR-DR-75076/home/33568462,NTREIS,13678039,N,Y,33.811975,-96.727918
PAST SALE,October-29-2018,Vacant Land,3519 Bethel Cannon Rd Unit 2.2,Van Alstyne,TX,75495,84900,0,,Trinity Meadows,,98707,,610,,,Sold,,,http://www.redfin.com/TX/Van-Alstyne/3519-Bethel-Cannon-Rd-75495/unit-22/home/145230366,NTREIS,13802325,N,Y,33.4469787,-96.4601041
PAST SALE,August-12-2019,Vacant Land,Knothole Rd,Whitewright,TX,75491,99500,0,,Knothole Add,,217800,,323,,,Sold,,,http://www.redfin.com/TX/WHITEWRIGHT/KNOT-HOLE-RD-75491/home/109652627,NTREIS,14116266,N,Y,33.42573,-96.408807
PAST SALE,April-4-2019,Vacant Land,401 W Elm St,Denison,TX,75020,14000,0,,Patterson Add,,7492,,453,,,Sold,,,http://www.redfin.com/TX/Denison/401-W-Elm-St-75020/home/33587878,NTREIS,14033165,N,Y,33.764241,-96.539783
PAST SALE,September-26-2019,Vacant Land,321 W Bond St,Denison,TX,75020,11500,0,,Otp Denison,,,,278,,,Sold,,,http://www.redfin.com/TX/Denison/321-W-Bond-St-75020/home/33587989,NTREIS,14152271,N,Y,33.7609102,-96.5392085
PAST SALE,January-23-2020,Vacant Land,7 Johnson St,Denison,TX,75021,17000,0,,OTP DENISON,,7500,,159,,,Sold,,,http://www.redfin.com/TX/Denison/7-Johnson-St-75021/home/160597453,NTREIS,14032796,N,Y,33.762458,-96.533001
PAST SALE,March-6-2020,Vacant Land,511 W Johnson St,Denison,TX,75020,15500,0,,Lelandoux Add,,7492,,116,,,Sold,,,http://www.redfin.com/TX/Denison/511-W-Johnson-St-75020/home/167029915,NTREIS,14106853,N,Y,33.7631682,-96.5417027
PAST SALE,March-12-2020,Vacant Land,Bluebonnet Cir,Denison,TX,75020,55500,0,,Northern Hills,,80586,,110,,,Sold,,,http://www.redfin.com/TX/Denison/Bluebonnet-Cir-75020/home/52207657,NTREIS,14142905,N,Y,33.807091,-96.557226
PAST SALE,June-19-2020,Vacant Land,Martin Luther King St,Denison,TX,75020,16900,0,,Washington Heights Add,,5009,,11,,,Sold,,,http://www.redfin.com/TX/DENISON/MARTIN-LUTHER-KING-ST-75020/home/33582853,NTREIS,14363230,N,Y,33.765343,-96.544414
PAST SALE,June-22-2020,Vacant Land,212 E Walker St,Denison,TX,75021,125000,0,,Otp Denison,,41556,,8,,,Sold,,,http://www.redfin.com/TX/Denison/212-E-Walker-St-75021/home/35639213,NTREIS,14327929,N,Y,33.76126,-96.532576
PAST SALE,December-28-2018,Vacant Land,0 W Bond Shr,Denison,TX,75020,7000,0,,Millers 2nd Add,,9017,,550,,,Sold,,,http://www.redfin.com/TX/Denison/W-Bond-75020/home/109652554,NTREIS,13923537,N,Y,33.76215,-96.549715
PAST SALE,June-24-2020,Vacant Land,150 Freeman Rd,Denison,TX,75021,145000,0,,Multiple Abstracts,,653400,,6,,,Sold,,,http://www.redfin.com/TX/Denison/150-Freeman-Rd-75021/home/169586227,NTREIS,14336819,N,Y,33.7614997,-96.4974992
PAST SALE,November-30-2018,Vacant Land,Shoshone Dr,Gordonville,TX,76245,3850,0,,Sherwood Shores,,5009,,578,,,Sold,,,http://www.redfin.com/TX/Gordonville/456-Shoshone-Dr-76245/home/33560452,NTREIS,13968405,N,Y,33.845074,-96.81318
PAST SALE,March-26-2019,Vacant Land,Gage,Sherman,TX,76273,52900,0,,Gage Road Addition,,133076,,462,,,Sold,,,http://www.redfin.com/TX/Whitesboro/Gage-76273/home/148569136,NTREIS,13995658,N,Y,33.640602,-96.812987
PAST SALE,March-26-2019,Vacant Land,99 Bluebird Lane / Mano Ln,Sadler,TX,76264,9500,0,,Aloha Gardens Sub,,15638,,462,,,Sold,,,http://www.redfin.com/TX/Unknown/99-Mano-Ln-76264/home/160614018,NTREIS,14038304,N,Y,33.779913,-96.820357
