 $/Acre ,Acres, PRICE ,CDOM,SOLD DATE,County,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,LOT SIZE,LATITUDE,LONGITUDE
" $90,909 ",0.18," $16,000 ",28,4/22/2019,Lee,TBD  Nursery Dr  ,Lexington,TX,78947,7666.56,30.411179,-96.998981
" $110,599 ",0.22," $24,000 ",11,1/23/2020,Lee,317  Avenue E   ,Lexington,TX,78947,9452.52,30.407333,-97.007433
" $52,419 ",0.25," $13,000 ",14,4/23/2018,Lee,907  Yegua Dr  #BLK,Lexington,TX,78947,10802.88,30.417478,-97.015356
" $68,093 ",0.26," $17,500 ",9,4/8/2020,Lee,913  Hale St  ,Lexington,TX,78947,11194.92,30.418822,-97.010295
" $45,290 ",0.28," $12,500 ",544,3/12/2019,Lee,610  Yegua St  ,Lexington,TX,78947,12022.56,30.41318,-97.013457
" $61,060 ",0.43," $26,500 ",4,6/18/2018,Lee,TBD  Hester St  ,Lexington,TX,78947,18905.04,30.407575,-97.003795
" $22,222 ",0.45," $10,000 ",280,7/6/2018,Lee,00 HWY 77  Hwy 77   ,Lexington,TX,78947,19602,30.434626,-97.010405
" $30,983 ",0.47," $14,500 ",9,3/1/2019,Lee,114  Lazy Ln  ,Lexington,TX,78947,20386.08,30.4268,-97.008225
" $25,758 ",0.66," $17,000 ",55,6/3/2019,Lee,TBD S Burleson St  ,Giddings,TX,78942,28749.6,30.176361,-96.939645
" $37,129 ",1.01," $37,500 ",36,6/18/2018,Lee,11152 N Highway 77   ,Lexington,TX,78947,43995.6,30.496319,-96.985961
" $35,971 ",1.25," $45,000 ",3,3/28/2019,Lee,000  County Road 229   ,Giddings,TX,78942,54493.56,30.148755,-96.861578
" $21,629 ",1.39," $30,000 ",7,4/4/2019,Lee,408  Giddings St  ,Lexington,TX,78947,60417.72,30.41229,-97.010497
" $30,444 ",1.40," $42,622 ",0,3/25/2019,Lee,000  County Road 230   ,Giddings,TX,78942,60984,30.14726,-96.860819
" $17,410 ",1.84," $32,000 ",139,5/2/2019,Lee,000  Hwy 77   ,Giddings,TX,78942,80063.28,30.176279,-96.93676
" $12,500 ",2.00," $25,000 ",133,11/4/2019,Lee,1069  Private Road 7037   ,Lexington,TX,78947,87120,30.33508,-97.060501
" $13,889 ",2.88," $40,000 ",0,10/16/2019,Lee,309  Clark Ln  ,Giddings,TX,78942,125452.8,30.196361,-96.943684
" $16,438 ",2.92," $48,000 ",11,12/23/2019,Lee,TBD  Farm to Market 141   ,Giddings,TX,78942,127195.2,30.234979,-96.868602
" $21,667 ",3.00," $65,000 ",284,5/21/2018,Lee,0  0000 Raintree   ,Elgin,TX,78621,130680,30.391578,-97.298023
" $9,360 ",3.20," $29,953 ",302,1/17/2020,Lee,1088  Private Road 4242 Pr  ,Dime Box,TX,77853,139392,30.380835,-96.79697
" $11,745 ",4.09," $48,000 ",466,7/18/2019,Lee,TBD  Mayer Lane   ,Giddings,TX,78942,178029.72,30.182285,-96.958734
" $15,586 ",4.81," $75,000 ",235,11/1/2018,Lee,1036  SHERRILL LN   ,Blue,TX,78947,209610.72,30.39952,-97.115185
" $22,495 ",4.89," $110,000 ",6,5/17/2019,Lee,1023  Shady Cir  ,Lexington,TX,78947,213008.4,30.432737,-97.011118
" $10,400 ",5.00," $52,000 ",29,11/21/2018,Lee,TBD  CR 324   ,Lincoln,TX,78948,217800,30.309265,-97.034835
" $11,000 ",5.00," $55,000 ",13,6/18/2018,Lee,TBD  County Road 217   ,Giddings,TX,78942,217800,30.120404,-96.956534
" $16,500 ",5.00," $82,500 ",228,5/21/2018,Lee,TBD  County Road 233   ,Giddings,TX,78942,217800,30.164976,-96.85535
" $14,783 ",5.14," $76,000 ",59,6/25/2019,Lee,TBD  Private Road 2903   ,Giddings,TX,78942,223941.96,30.18276,-96.984804
" $14,376 ",5.22," $75,000 ",495,2/12/2020,Lee,000 N Hwy 77   ,Giddings,TX,78942,227252.52,30.19866,-96.928595
" $11,610 ",5.34," $62,000 ",51,6/20/2018,Lee,000  Walch Ln  ,Lexington,TX,78947,232610.4,30.436614,-97.037553
" $15,540 ",5.34," $83,000 ",19,3/18/2019,Lee,000  Walch Ln  ,Lexington,TX,78947,232653.96,30.440458,-97.028633
" $15,540 ",5.34," $83,000 ",45,3/18/2019,Lee,000  Walch Ln  ,Lexington,TX,78947,232653.96,30.440476,-97.028559
" $10,833 ",6.00," $65,000 ",207,3/1/2019,Lee,1374  Private Road 3431   ,Lexington,TX,78947,261360,30.361349,-97.113245
" $3,328 ",6.01," $20,000 ",44,10/1/2018,Lee,000  Fm 180   ,Ledbetter,TX,78946,261795.6,30.2825,-96.671793
" $9,324 ",6.97," $65,000 ",205,2/4/2020,Lee,1137  County Road 336   ,Lexington,TX,78947,303656.76,30.443547,-97.104193
" $9,571 ",7.00," $67,000 ",82,10/8/2018,Lee,0  CR. 430   ,Dime Box,TX,77853,304920,30.42191,-97.046455
" $9,071 ",7.17," $65,000 ",211,10/28/2019,Lee,TBD  County Road 130   ,Ledbetter,TX,78946,312150.96,30.171473,-96.78083
" $9,768 ",7.17," $70,000 ",25,4/11/2019,Lee,TBD  CR 130   ,Ledbetter,TX,78946,312150.96,30.172663,-96.780421
" $13,431 ",8.38," $112,550 ",79,10/12/2018,Lee,00  Hwy 77   ,Lincoln,TX,78948,365032.8,30.306568,-96.954911
" $8,711 ",8.61," $75,000 ",277,5/2/2019,Lee,394  Fm 112   ,Lexington,TX,78947,375051.6,30.468129,-97.160072
